	base__hugo	base__num_variants	base__so	base__all_so	base__note
329	RIMS4	71	INT	INT(67),UT3(3),2KU(1)	
330	RIN2	240	MIS	MIS(2),SYN(3),INT(228),UT3(2),2KU(4),2KD(1)	
331	RNF114	33	INT	INT(25),UT3(1),2KU(5),2KD(2)	
332	RNF24	108	FSD	FSD(1),INT(85),UT3(15),2KU(1),2KD(6)	
333	ROMO1	6	INT	INT(3),2KU(2),2KD(1)	
334	RP4-576H24.4	67	INT	INT(63),2KU(2),2KD(2)	
335	RP5-1187M17.10	46	STG	STG(1),MIS(2),SYN(4),INT(17),UT5(2),UT3(7),2KU(6),2KD(7)	
336	RP5-850E9.3	84	INT	INT(73),UT5(2),UT3(4),2KU(2),2KD(3)	
337	RP5-860F19.8	8	STG	STG(1),MIS(1),SYN(1),INT(2),2KU(1),2KD(2)	
338	RPN2	81	MIS	MIS(2),SYN(1),INT(74),UT5(1),2KU(1),2KD(2)	
339	RPRD1B	128	SPL	SPL(1),INT(119),UT3(4),2KU(2),2KD(2)	
340	RPS21	9	2KU	2KU(3),2KD(6)	
341	RRBP1	78	MIS	MIS(3),UNK(1),INT(68),2KU(3),2KD(3)	
342	RSPO4	37	INT	INT(35),UT5(1),UT3(1)	
343	RTFDC1	155	SYN	SYN(1),INT(139),UT3(9),2KU(3),2KD(3)	
344	SALL4	38	MIS	MIS(4),SYN(1),INT(23),UT3(2),2KU(6),2KD(2)	
345	SAMHD1	106	MIS	MIS(2),SYN(1),INT(94),UT3(2),2KU(2),2KD(5)	
346	SCAND1	7	INT	INT(3),UT5(1),2KD(3)	
347	SCP2D1	4	MIS	MIS(1),2KU(2),2KD(1)	
348	SCRT2	43	MIS	MIS(1),SYN(2),INT(20),UT5(3),UT3(4),2KU(2),2KD(11)	
349	SDC4	18	INT	INT(15),2KU(3)	
350	SDCBP2	45	MIS	MIS(1),INT(39),UT5(1),2KU(3),2KD(1)	
351	SEC23B	136	FSD	FSD(2),MIS(2),SYN(2),INT(117),UT5(3),UT3(1),2KU(6),2KD(3)	
352	SEL1L2	156	SYN	SYN(1),INT(151),2KU(1),2KD(3)	
353	SEMG1	15	FSI	FSI(1),MIS(3),UT5(1),2KU(10)	
354	SEMG2	6	MIS	MIS(1),SYN(1),INT(2),2KD(2)	
355	SERINC3	68	INT	INT(51),UT5(1),UT3(1),2KU(8),2KD(7)	
356	SGK2	33	MIS	MIS(1),INT(29),2KU(2),2KD(1)	
357	SIGLEC1	64	FSI	FSI(2),FSD(2),MIS(3),SYN(5),INT(43),UT3(1),2KU(5),2KD(3)	
358	SIRPA	153	MIS	MIS(3),SYN(1),INT(125),UT5(3),UT3(6),2KU(8),2KD(7)	
359	SIRPB1	54	MIS	MIS(2),SYN(2),INT(48),2KU(2)	
360	SIRPB2	29	INT	INT(18),UT3(3),2KU(5),2KD(3)	
361	SIRPD	47	INT	INT(40),UT5(2),UT3(1),2KU(3),2KD(1)	
362	SIRPG	62	STG	STG(1),IND(1),MIS(3),SYN(1),INT(43),UT5(1),UT3(4),2KU(4),2KD(4)	
363	SLA2	7	INT	INT(5),UT3(1),2KD(1)	
364	SLC12A5	5	INT	INT(5)	
365	SLC13A3	158	MIS	MIS(2),SYN(1),INT(142),UT3(1),2KU(12)	
366	SLC17A9	10	INT	INT(9),2KU(1)	
367	SLC23A2	183	FSI	FSI(1),MIS(4),SYN(1),INT(171),UT5(1),UT3(1),2KU(3),2KD(1)	
368	SLC24A3	820	MIS	MIS(4),SYN(1),INT(802),UT3(5),2KU(4),2KD(4)	
369	SLC2A10	27	FSI	FSI(1),SYN(1),INT(11),UT3(8),2KU(3),2KD(3)	
370	SLC32A1	36	FSI	FSI(1),MIS(4),SYN(3),INT(17),2KU(9),2KD(2)	
371	SLC35C2	35	INT	INT(14),UT3(8),2KU(5),2KD(8)	
372	SLC4A11	15	MIS	MIS(4),INT(8),2KU(2),2KD(1)	
373	SLC52A3	65	MIS	MIS(7),SYN(3),INT(48),2KU(3),2KD(4)	
374	SLC9A8	74	FSD	FSD(3),INT(67),UT3(2),2KU(1),2KD(1)	
375	SLCO4A1	46	STG	STG(1),SYN(3),INT(37),2KU(4),2KD(1)	
376	SLPI	9	SYN	SYN(1),INT(2),2KU(6)	
377	SLX4IP	284	FSD	FSD(1),SYN(1),INT(268),UT3(11),2KU(2),2KD(1)	
378	SMOX	40	INT	INT(31),UT3(3),2KU(1),2KD(5)	
379	SNAI1	29	MIS	MIS(1),INT(12),UT3(2),2KU(5),2KD(9)	
380	SNAP25	131	INT	INT(122),UT5(1),2KU(5),2KD(3)	
381	SNPH	78	MIS	MIS(2),INT(65),UT3(2),2KU(5),2KD(4)	
382	SNRPB	12	INT	INT(7),2KU(3),2KD(2)	
383	SNRPB2	37	MIS	MIS(2),INT(25),UT3(4),2KU(3),2KD(3)	
384	SNTA1	4	INT	INT(4)	
385	SNX21	14	SPL	SPL(1),SYN(1),INT(7),2KU(2),2KD(3)	
386	SNX5	47	SPL	SPL(1),MIS(1),INT(35),UT3(1),2KU(5),2KD(4)	
387	SOGA1	127	FSD	FSD(2),MIS(6),SYN(3),INT(113),UT3(1),2KU(1),2KD(1)	
388	SOX12	1	2KD	2KD(1)	
389	SPAG4	4	INT	INT(3),2KD(1)	
390	SPATA2	4	INT	INT(3),2KU(1)	
391	SPATA25	7	2KU	2KU(6),2KD(1)	
392	SPEF1	1	FSD	FSD(1)	
393	SPINT3	8	INT	INT(4),2KU(1),2KD(3)	
394	SPINT4	11	INT	INT(3),2KU(3),2KD(5)	
395	SPO11	11	SYN	SYN(2),INT(8),2KD(1)	
396	SPTLC3	410	MIS	MIS(3),INT(386),UT5(1),2KU(20)	
397	SRC	109	MIS	MIS(1),SYN(4),INT(87),UT3(9),2KU(1),2KD(7)	
398	SRSF6	4	INT	INT(1),2KU(2),2KD(1)	
399	SRXN1	19	FSD	FSD(1),INI(1),MIS(1),SYN(2),INT(6),UT5(1),UT3(1),2KU(3),2KD(3)	
400	SS18L1	35	MIS	MIS(1),SYN(1),INT(29),UT3(1),2KU(1),2KD(2)	
401	SSTR4	11	MIS	MIS(2),UT5(1),UT3(1),2KU(3),2KD(4)	
402	STAU1	77	MIS	MIS(2),INT(70),UT3(2),2KU(1),2KD(2)	
403	STK35	32	SYN	SYN(1),INT(14),UT3(7),2KU(3),2KD(7)	
404	STK4	101	MIS	MIS(1),INT(79),UT3(11),2KU(5),2KD(5)	
405	STX16	35	MIS	MIS(1),INT(30),2KU(2),2KD(2)	
406	SULF2	149	INT	INT(143),UT5(1),UT3(1),2KU(2),2KD(2)	
407	SUN5	39	MIS	MIS(2),SYN(1),INT(32),2KU(3),2KD(1)	
408	SYCP2	179	FSI	FSI(3),FSD(1),STG(1),SYN(3),INT(160),UT3(3),2KU(3),2KD(5)	
409	SYNDIG1	302	INT	INT(299),UT3(2),2KD(1)	
410	SYS1	35	SPL	SPL(1),SYN(1),INT(26),UT3(2),2KU(2),2KD(3)	
411	TAF4	276	MIS	MIS(8),SYN(3),INT(244),UT3(12),2KU(7),2KD(2)	
412	TASP1	455	MIS	MIS(1),INT(444),UT3(3),2KU(2),2KD(5)	
413	TBC1D20	17	INT	INT(17)	
